GP_ID,GP_CD,GP_NM
1,1005,Police Facilities Parent
2,1009,City Hall Renovations
3,101,Animal Shelter Improvements
4,101,Anti Litter
5,1010,STP-MM - TMC
6,1015,STP-MM - Detection
7,1016,STP-MM - Communications - IP Conversion
8,102,Pay As You Throw
9,1020,Animal Services
10,103,AFD Equipment Purchase
11,103,Landfill
12,104,APD Equipment Purchase
13,1040,OTC Parent
14,1050,Health Facilities Parent
15,1080,AFD Facilities Parent
16,1094,Gus Garcia Grant Match
17,1097,Gus Garcia Rec Ctr Ph. II Improvements
18,1099,Gus Garcia District Park
19,110,WCC Core Replacement
20,1104,East Cesar Chavez Neighbor Enh
21,112,Barton Creek Trail Repair
22,112,North Loop Neighborhood Enhanc
23,1120,Colony Park Rec Ctr
24,115,Capital Equipment
25,117,FY 15 Purchases
26,11A1,Patrol
27,11A2,Community Partnerships
28,11A6,Patrol Support
29,11A7,Traffic Enforcement
30,120,Vehicle and Equipment Requirements
31,1209,Todd Ln. Chiller Replacement
32,121,FY16 Trash / Recycling Containers
33,122,Specialty CBD Containers
34,123,Residential Curbside Organics Collection
35,132,Colorado River Park Channel
36,1442,Hv Cap Bank
37,1443,Oak Hill Capacitor Bank Additi
38,151,Cameron Road
39,1CID,Case Investigation
40,1ECC,Code Education and Collaboration
41,1ELR,Employee and Labor Relations
42,1FFC,Fully Funded by City - Employee/Retiree
43,1GEN,Power Generation
44,1GEN,Power Production
45,1HEI,Health Equity
46,1LCP,Closure and Post Closure Care
47,1LCP,Landfill Closure and Post Closure Care
48,1LCP,Remediation
49,1LOP,Landfill Operations
50,1OCF,Office of the Chief Financial Officer
51,1PFP,Park and Facility Patrol
52,1PKP,Park Police
53,1PKP,Specialized Patrol & Events Planning
54,1PPP,Personnel Policies and Procedures
55,1TAS,Air Operations
56,1TAS,Air Support
57,20,OTC Renovations
58,2001,Mobility Enhancements
59,2001,Telephony
60,2002,AFD Electrical Panels
61,2002,Website Redesign
62,2004,Electronic Patient Care Records
63,2008,Gis Field Data
64,2009,Exchange Archiving
65,201,Map Managed Care System
66,2010,Land Use Gis Applic
67,2012,COATN Upgrade
68,2013,Mobile Device Management
69,2014,Pond Safety
70,2016,CAD Enhancement - PTT
71,2017,Telephony Upgrade - COIP Phase 4
72,2018,Law PIR Software
