FUND_ID,FUND_CD,FUND_NM
1,1000,General Fund
2,1004,General Fund Budget Stabilization Reserve Fund
3,1005,General Fund One-Time Expenditure Fund
4,1005,One-Time Expenditure Fund
5,1020,General Fund Inventory Fund
6,1115,1115 Medicaid Waiver
7,1180,Tourism And Promotion Fund
8,1200,Convention Center Repair and Replacement Fund
9,1200,Convention Ctr Repair and Replacement
10,1210,Convention Center Marketing and Promotion Fund
11,1210,Convention Ctr Promotions
12,3230,E-Transmission Capital
13,3240,E-Distribution Substations Cap
14,3250,E-Distribution Capital
15,3260,E-Metering Capital
16,3290,E-Support Services Capital
17,3300,E-Capital Equipment Additions
18,3310,E-Support Services Debt
19,3840,W-Wtp #4 & Facilities   P04/84
20,3920,W-Water Improvements
21,3940,W-Water-Fee Supported Prj
22,3960,Water Improvements--Nva
23,3990,Water Reclamation Initv
24,4010,Water Reclamation
25,4180,W-Water Acquisitions - Cont Ob
26,4240,W-System Expand And Improve
27,4480,S-Wastewater Improvements
28,4570,Wastewater Improvements--Nva
29,4680,S-Wastewater Acquisitions Co
30,4710,Public Works  Transportation CIP
31,4730,Parking CIP
32,4750,G-Golf Cip
33,4800,ARR-Austin Resource Recovery Cip
34,4800,Sw-Solid Waste Cip
35,4850,Drainage Cip
36,4910,ABIA Improvements
37,4911,2013ABIA Construction RevBonds
38,4912,2014 ABIA Construction RevBonds
39,4913,2017 ABIA Construction RevBonds
40,4922,Tchd Cip Projects
41,4971,Waller Creek Tunnel
42,4980,Town Lake/Comm Events P11/98
43,5010,Austin Energy Fund
44,5010,Electric Utility Operating Fnd
45,5020,Austin Water Water Utility Operating Fund
46,5020,Water Utility Operating Fnd
47,5020,Water Utility Operating Fund
48,5025,Austin Water Reclaimed Water Utility Operating Fun
49,5025,Reclaimed Water Operating Fnd
50,5025,Reclaimed Water Utility Operating Fund
51,5030,Austin Water Wastewater Utility Operating Fund
52,5030,Wastewater Utility Operating Fund
53,5030,Wastewater Utlty Operating Fnd
54,5040,Austin Resource Recovery
55,5040,Austin Resource Recovery Fund
56,5040,Solid Waste Services
57,5060,Convention Center Operating
58,5060,Convention Center Operating Fund
59,5070,Airport Operating Fund
60,5080,Golf Enterprise Operating Fund
61,5080,Golf Fund
62,5090,Development Services Fund
63,5100,Drainage Utility Fund
64,5110,Softball Enterprise Operating
65,5120,Transportation Fund
66,5125,Mobility Fund
67,5130,Recreation Programs
68,5140,Communications & Technology Mt
69,5140,Communications and Technology Management Fund
70,5150,Support Services Fund
71,5150,Support Services Operating
72,5220,Water Inventory Fund
73,5270,Wireless Communication Services Fund
74,5270,Wireless Communications Oper
75,5280,Fleet Fund
76,5280,Fleet Services Fund
77,5290,General Svc Inventories
78,5330,Gen Serv-Vehicle Acquisition
79,5330,Vehicle Acquisition Fund
80,5360,Radio Inventory
81,5370,CTM - Technology Acquisition Fd
82,5390,Transportation Inventory Fund
83,5430,Convention Center Palmer Events Center Operating F
84,5430,Palmer Events Ctr Operating
85,5432,Convention Center Palmer Events Center Garage Fund
