DIV_ID,DIV_CD,DIV_NM
1,100,Animal Shelter Improvements
2,100,Capital Equipment
3,100,Coa Telecommunications Network
4,1000,Building Renovations & Improvements
5,1000,New Central Library
6,1001,New Central Library AIPP
7,1008,STPMM Signals
8,101,Equipment Purchase from Critical One Time
9,1013,Golf Course - CO 2015
10,1015,Bike Share - Private Match
11,1016,Water Impvs Citywide
12,1019,Water Future Projects Unfunded
13,1035,LCRA Facility Renovation
14,1040,Alexandria Dr. - District 8
15,109,Facility Park and Trail Improvements
16,10PL,Parks Planning Development & Operations
17,10PL,Planning
18,110,Greenways
19,1100,Animal Services Center
20,1100,Neighborhood Enhancement Proje
21,1121,Colony Park Rec Ctr-Co'S
22,115,Johnny Morris Rd Tennis Center
23,11AA,Neighborhood-Based Policing
24,11AQ,Aquatics
25,120,Destination Parks
26,12GT,Golf and Tennis
27,13,Evidence Storage Warehouse
28,130,Colorado River Park
29,1321,Travel Time Sensors
30,133,Sparky Park
31,139,Walnut Creek Trail
32,14,AMANDA
33,14,DVV System
34,1455,Delete - Do Not Use
35,150,Property Acquisition & Improve
36,158,Veloway Trail Improvements
37,1615,183/Pond Springs-620 (Signals)
38,166,Carver Museum Lighting
39,1687,Traffic Safety Bicycle Lights
40,1688,Bike Share/Bike Safety
41,1BIP,Building Inspections & Trade Permits
42,1BPR,Building Plan Review
43,1CCI,Case Investigation
44,1CCI,Investigations and Compliance
45,1CFD,Fully Funded by City - Employee/Retiree
46,1CFO,Office of the Chief Financial Officer
47,1CTM,Communications and Technology Management
48,1CTP,Community Tree Preservation
49,1DAC,Development Assistance Center
50,1EPR,Employee Relations
51,1H2O,Water Conservation
52,1HRM,Human Resources Management Services
53,1HSG,Housing
54,1IMG,Asset and Facility Management
55,1IMG,Infrastructure Management
56,1LFO,Landfill
57,1LFO,Landfill Closure
58,1LFO,Remediation
59,1LUR,Land Use Review
60,1NCD,Community Development
61,1PP1,Park Public Safety
62,1PSM,Power Generation Market Operations & Resource Plan
63,1PSM,Power Supply & Market Operations
64,1SSI,Site and Subdivision Inspections
65,1SSP,One Stop Shop
66,1SSR,Site and Subdivision Review
67,1TRF,Highway Enforcement
68,1WIR,Wireless Communication Services
69,200,Ccsd - Comm & Tech
70,2000,2010 P1 - $27.88M Parent
71,2000,Building Renovations & Improvements Parent
72,2000,DO NOT USE
73,2000,Great Streets - Developer Reimbursements
74,2000,Inventory
75,2000,IT Improvement Projects
76,2000,Library Direct Expense
77,2000,Tourism and Promotion Contracts
78,2007,Bikeway & Related Facilities
79,2016,Wastewater Impvs City Wide
80,2017,Wastewater Future Projects Unf
81,2026,Trnsprtn Systm Mgmt Imprvmts
82,204,Morris Williams Grounds Improv
83,209,Morris Williams Maintenance Barn
84,2100,Drainage Master Plan Parent-DUF
85,2100,Police Benefit Trust
86,2100,Street Imprs. P1/98 $28.755 M
87,2140,Summer Musical Expenses
88,2180,Intersection Capacity Imprvs T
89,221,Mobile Data System
90,222,9-1-1 Backup
91,223,Public Safety Mdc Commun Upgrd
92,22IH,Indigent Health Managed Care
93,22PC,Clinic Based Care
94,22PS,Patient Care Support Services
95,250,Ccsd - Building Maintenance
96,250,Critical Technology Replace
97,255,Service Center #3 Refurbishmt
98,257,Fleet Facility Improvements
99,258,Fuel Island Automation (Tcip)
100,262,Vehicle database upgrade to M5
101,264,Environmental Assessment/Compliance
102,266,Police Patrol Sedans
103,2900,Fy2001 Transmission Parent
104,2ANL,Animal Services
105,2ANL,Animal Services Office
106,2AP2,Airport Public Safety
107,2BUD,Budget Office
108,2CDE,Community Development
109,2CFS,Fire / Emergency Response
110,2CLR,Licensing and Registration Compliance
111,2CMS,Community Services
112,2CNT,Controllers Office
113,2CNT,Controller's Office
114,2COP,Comprehensive Planning
115,2COP,Long Range Planning
116,2CPD,Capital Projects Delivery
117,2CPO,Capital Planning Office
118,2CPO,Corridor Program Office
119,2CRO,Civil Rights
120,2CUL,Cultural Arts
121,2CUL,Cultural Arts and Contracts
122,2ESD,Electric Service Delivery
123,2EVT,Event Operations
124,2FAC,CTECC
125,2FAC,CTECC and Public Safety IT Support
126,2GIS,Global Business Recruitment and Expansion
127,2GRA,Grant Administration
128,2HDA,Housing Developer Assistance
129,2HDE,Housing Development
130,2HOA,Homeowner Assistance
131,2MUS,Music and Entertainment Division
132,2MUS,Music Division
133,2OPM,Office of Performance Management
134,2PAY,Collection Services
135,2PAY,Pay As You Throw
136,2PBS,Public Services
137,2PMM,Program Management
138,2RDS,Economic Development
139,2RDS,Redevelopment
140,2RDV,Organization Development
141,2SPM,Street Preventive Maintenance
142,3,New City Hall Technology
143,3000,Department Initiatives-Parent Unit
144,3000,Pool Renovations & Improvements
145,3010,Pool Renovations & Improvements
146,302,Annexation Related Sta Parent
147,3020,Parkland Mitigation
148,3026,Central Austin Youth League Concession
149,3050,Abia Improvements Parent
150,3056,Turner Roberts Pavillion
