RF_DOC_ID,RF_DOC_CD,RFED_ACTG_LN_NO,ACTG_LN_DSCR
1,PO,1,"""1PBL8 REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"I"
2,DO,1,"""20H272 MACHETE HEAVY DUTY 22"""""""
3,DO,1,"""24WJ88 HAND CLEANER WATERLES PUMICE 10-1/2""""x12-1"
4,DO,1,"""2GXF9 SAW PVC BLADE LENGTHS 12"""" & 18"""" 10 TEETH "
5,CT,1,"""3M LATEX FREE COBAN TAPE 2"""""""
6,DO,1,"""3M LATEX FREE COBAN TAPE 2"""""""
7,PO,1,"""3M LATEX FREE COBAN TAPE 2"""""""
8,CT,1,"""3-Sec. Alum. BP w/2"""" Reflective Tape."""
9,PO,1,"""3-Sec. Alum. BP w/2"""" Reflective Tape."""
10,PO,1,"""4RA78 SAW PVC BLADE LENGTHS 12"""" & 18"""" 10 TEETH "
11,CT,1,"""4-Sec. Alum. BP w/2"""" Reflective Tape."""
12,PO,1,"""4-Sec. Alum. BP w/2"""" Reflective Tape."""
13,DO,1,"""4-Way Slip Fitter for 4"""" Pole"""
14,PO,1,"""4-Way Slip Fitter for 4"""" Pole"""
15,DO,1,"""58"""" Alum Tube"""
16,DO,1,"""74"""" Alum Tube"""
17,DO,1,"""8C298 REFILLS FIRST AID KIT OUTDOOR TOWELETTE """"S"
18,PO,1,"""AB-3009-132-PNC Astro-Brac Clamp with 132 """" Cabl"
19,CT,1,"""ADAPTER BRASS GAUGE 1/4"""" FIPT TO HOSE BIBB FIPT"""
20,DO,1,"""ADAPTER PVC SEMI RIDGID 24""""CI X 24""""CI"""
21,DO,1,"""ADAPTER PVC SEMI-RIDGID 12"""" CI X 12"""" CI"""
22,PO,1,"""ALCOHOL DENATURED 1 GAL CAN"""""""
23,CT,1,"""All-Purpose Sponges  Kendall # 9024 Versalon?.   "
24,DO,1,"""All-Purpose Sponges  Kendall # 9024 Versalon?.   "
25,PO,1,"""All-Purpose Sponges  Kendall # 9024 Versalon?.   "
26,CT,1,"""BACKPLATE W/2"""" REFLECTIVE TAPE FOR 5 SECTION HEA"
27,PO,1,"""BACKPLATE W/2"""" REFLECTIVE TAPE FOR 5 SECTION HEA"
28,DO,1,"""BANDAGE CLOTH ADHESIVE XLARGE SIZE 2""""X4"""""""
29,PO,1,"""BANDAGE CLOTH ADHESIVE XLARGE SIZE 2""""X4"""""""
30,DO,1,"""BANDAGE CLOTH FINGERTIP ADHESIVE SIZE 1-3/4""""X2"""""
31,PO,1,"""BANDAGE CLOTH FINGERTIP ADHESIVE SIZE 1-3/4""""X2"""""
32,PO,1,"""BLADE CIR SAW CHISEL TOOTH COMB 7-1/4"""" 26 TEETH "
33,PO,1,"""BLADE CIRCULAR SAW CARBIDE COMB 5/8""""  ARBOR 7-1/"
34,DO,1,"""BLADES QUICKIE SAW 16"""" DUCTILE IRON"""
35,PO,1,"""BLADES QUICKIE SAW 16"""" DUCTILE IRON"""
36,DO,1,"""BOLD SQUARE HEAD ZINC PLATED GRADE 5 CT 3/4 """" X "
37,PO,1,"""BOLD SQUARE HEAD ZINC PLATED GRADE 5 CT 3/4 """" X "
38,DO,1,"""BOLT SQUARE HEAD ZINC PLATED GRADE 5 CT 5/8""""X 2 "
39,PO,1,"""BOLT SQUARE HEAD ZINC PLATED GRADE 5 CT 5/8""""X 2 "
40,DO,1,"""BOLT ZINC G5CT SQ HEAD SIZE 3/4"""" X 2-1/2"""""""
41,PO,1,"""BOLT ZINC G5CT SQ HEAD SIZE 3/4"""" X 2-1/2"""""""
42,DO,1,"""BOLT ZINC G5CT SQ HEAD SIZE 5/8"""" X 2-1/2"""""""
43,PO,1,"""BOLT ZINC G5CT SQ HEAD SIZE 5/8"""" X 2-1/2"""""""
44,CT,1,"""BOX AND COVER METER HDPE RECTANGULAR AMR/AMI DOUB"
45,PO,1,"""BOX AND COVER METER HDPE RECTANGULAR AMR/AMI DOUB"
46,CT,1,"""BOX AND COVER METER HDPE RECTANGULAR AMR/AMI SING"
47,PO,1,"""BOX AND COVER METER HDPE RECTANGULAR AMR/AMI SING"
48,DO,1,"""BUSHING BRASS 3"""" X 2"""""""
49,PO,1,"""BUSHING BRASS 3"""" X 2"""""""
50,DO,1,"""CABLE TIES PREVENTIVE 50LBS BREAKING STRENGHT 9"""""
51,PO,1,"""CABLE TIES PREVENTIVE 50LBS BREAKING STRENGHT 9"""""
52,DOM,1,"""Clamps: Bar """"C"""" Carriage Hand Spring etc.; an"""
53,PO,1,"""Clamps: Bar """"C"""" Carriage Hand Spring etc.; an"""
54,CT,1,"""COUPLING DI ANCHOR 8"""" X 12"""" MJ SOLID X MJ SWIVE"
55,DO,1,"""COUPLING DI ANCHOR 8"""" X 12"""" MJ SOLID X MJ SWIVE"
56,PO,1,"""COUPLING DI ANCHOR 8"""" X 12"""" MJ SOLID X MJ SWIVE"
57,DO,1,"""COUPLING DI OPTIMUM RANGE LONG LENGTH 16"""""""
58,PO,1,"""COUPLING DI OPTIMUM RANGE LONG LENGTH 16"""""""
59,DO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 10"""""""
60,DO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 12"""""""
61,PO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 12"""""""
62,DO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 6"""""""
63,PO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 6"""""""
64,DO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 8"""""""
65,PO,1,"""COUPLING DI OPTIMUM RANGE STD LENGTH 8"""""""
66,DO,1,"""COUPLING DI OPTIMUN RANGE STD LENGTH 4"""""""
67,PO,1,"""COUPLING DI OPTIMUN RANGE STD LENGTH 4"""""""
68,PO,1,"""COUPLING GEARBOX TO STARTER GG4C GAS GENERATOR"""""""
69,DO,1,"""COUPLING REDUCER PVC 6"""" SPIGOT X 4"""" GASKET"""
70,PO,1,"""COUPLING REDUCER PVC 6"""" SPIGOT X 4"""" GASKET"""
71,DO,1,"""COUPLING SEWER PVC SDR 35 TWOWAY CLEAN OUT 4"""""""
72,PO,1,"""COUPLING SEWER PVC SDR 35 TWOWAY CLEAN OUT 4"""""""
73,DO,1,"""COVER MANHOLE MARKED SANITARY SEWER 32"""" STANDARD"
